# x 	 y
0 	 0
1 	 0.841471
2 	 0.909297
3 	 0.14112
4 	 -0.756802
5 	 -0.958924
6 	 -0.279415
7 	 0.656987
8 	 0.989358
9 	 0.412118
10 	 -0.544021
11 	 -0.99999
12 	 -0.536573
13 	 0.420167
14 	 0.990607
15 	 0.650288
16 	 -0.287903
17 	 -0.961397
18 	 -0.750987
19 	 0.149877


#Cubic sub-spline
# x 	 ySub 	 yCubic 	 yQuad
7.4 	 0.825651 	 0.895745 	 0.916466
7.45 	 0.851735 	 0.916414 	 0.937039
7.5 	 0.877243 	 0.934895 	 0.954976
7.55 	 0.90167 	 0.95114 	 0.970276
7.6 	 0.92451 	 0.965106 	 0.982941
7.65 	 0.945256 	 0.976748 	 0.992969
7.7 	 0.963403 	 0.986019 	 1.00036
7.75 	 0.978444 	 0.992876 	 1.00512
7.8 	 0.989874 	 0.997273 	 1.00724
7.85 	 0.997186 	 0.999165 	 1.00672
7.9 	 0.999875 	 0.998506 	 1.00357
7.95 	 0.997434 	 0.995252 	 0.997782
8 	 0.989358 	 0.989358 	 0.989358
8.05 	 0.976264 	 0.980799 	 0.97866
8.1 	 0.959345 	 0.969633 	 0.96605
8.15 	 0.938964 	 0.955937 	 0.951528
8.2 	 0.91548 	 0.939792 	 0.935094
8.25 	 0.889255 	 0.921274 	 0.916748
8.3 	 0.860648 	 0.900462 	 0.89649
8.35 	 0.830021 	 0.877435 	 0.87432
8.4 	 0.797735 	 0.85227 	 0.850238
8.45 	 0.764149 	 0.825047 	 0.824244
8.5 	 0.729625 	 0.795844 	 0.796338
8.55 	 0.694523 	 0.764738 	 0.76652
8.6 	 0.659205 	 0.731808 	 0.73479
8.65 	 0.624029 	 0.697133 	 0.701148
8.7 	 0.589358 	 0.660791 	 0.665594
8.75 	 0.555552 	 0.622861 	 0.628128
8.8 	 0.522972 	 0.58342 	 0.58875
8.85 	 0.491977 	 0.542547 	 0.54746
8.9 	 0.46293 	 0.50032 	 0.504258
8.95 	 0.43619 	 0.456818 	 0.459144
9 	 0.412118 	 0.412118 	 0.412118
9.05 	 0.385383 	 0.366309 	 0.364145
9.1 	 0.351014 	 0.319511 	 0.31619
9.15 	 0.309913 	 0.271854 	 0.268251
9.2 	 0.262983 	 0.223467 	 0.220331
9.25 	 0.211127 	 0.174481 	 0.172428
9.3 	 0.155248 	 0.125025 	 0.124542
9.35 	 0.0962476 	 0.0752287 	 0.0766737
9.4 	 0.0350295 	 0.0252223 	 0.028823
9.45 	 -0.027504 	 -0.0248646 	 -0.0190102
9.5 	 -0.0904503 	 -0.0749023 	 -0.0668259
9.55 	 -0.152907 	 -0.124761 	 -0.114624
9.6 	 -0.21397 	 -0.174311 	 -0.162405
9.65 	 -0.272738 	 -0.223422 	 -0.210168
9.7 	 -0.328309 	 -0.271965 	 -0.257914
9.75 	 -0.379778 	 -0.31981 	 -0.305642
9.8 	 -0.426244 	 -0.366827 	 -0.353353
9.85 	 -0.466804 	 -0.412886 	 -0.401046
9.9 	 -0.500556 	 -0.457858 	 -0.448722
9.95 	 -0.526595 	 -0.501613 	 -0.49638
10 	 -0.544021 	 -0.544021 	 -0.544021
10.05 	 -0.559342 	 -0.584964 	 -0.590411
10.1 	 -0.579249 	 -0.624368 	 -0.634319
10.15 	 -0.603107 	 -0.662171 	 -0.675742
10.2 	 -0.630284 	 -0.698312 	 -0.714682
10.25 	 -0.660147 	 -0.732729 	 -0.751139
10.3 	 -0.692064 	 -0.76536 	 -0.785113
10.35 	 -0.7254 	 -0.796142 	 -0.816603
10.4 	 -0.759523 	 -0.825015 	 -0.84561
10.45 	 -0.793801 	 -0.851916 	 -0.872134
10.5 	 -0.8276 	 -0.876784 	 -0.896174
10.55 	 -0.860286 	 -0.899555 	 -0.91773
10.6 	 -0.891228 	 -0.92017 	 -0.936804
10.65 	 -0.919792 	 -0.938565 	 -0.953394
10.7 	 -0.945346 	 -0.954678 	 -0.967501
10.75 	 -0.967255 	 -0.968449 	 -0.979124
10.8 	 -0.984888 	 -0.979815 	 -0.988264
10.85 	 -0.99761 	 -0.988714 	 -0.994921
10.9 	 -1.00479 	 -0.995084 	 -0.999094
10.95 	 -1.00579 	 -0.998863 	 -1.00078
11 	 -0.99999 	 -0.99999 	 -0.99999
11.05 	 -0.989216 	 -0.998424 	 -0.996898
11.1 	 -0.975874 	 -0.994205 	 -0.991693
11.15 	 -0.960174 	 -0.987399 	 -0.984374
11.2 	 -0.942327 	 -0.978066 	 -0.974941
11.25 	 -0.922544 	 -0.966271 	 -0.963395
11.3 	 -0.901035 	 -0.952075 	 -0.949735
11.35 	 -0.87801 	 -0.935543 	 -0.933962
11.4 	 -0.853681 	 -0.916737 	 -0.916075
11.45 	 -0.828256 	 -0.895719 	 -0.896074
11.5 	 -0.801949 	 -0.872553 	 -0.87396
11.55 	 -0.774967 	 -0.847302 	 -0.849732
11.6 	 -0.747523 	 -0.820028 	 -0.823391
11.65 	 -0.719827 	 -0.790794 	 -0.794936
11.7 	 -0.692089 	 -0.759664 	 -0.764368
11.75 	 -0.664519 	 -0.7267 	 -0.731686
11.8 	 -0.637329 	 -0.691965 	 -0.696891
11.85 	 -0.610729 	 -0.655522 	 -0.659982
11.9 	 -0.584929 	 -0.617433 	 -0.620959
11.95 	 -0.56014 	 -0.577763 	 -0.579823
